Code,Name,PER,PBR,ROE
2983,アールプランナー,8.928775,2.3867111,0.36453998
2984,ヤマイチエステート,43.480934,0.47097194,0.00434
2986,ＬＡホールディングス,10.581949,2.3311062,0.2552
2991,ランドネット,6.502266,1.237249,0.21067
2993,長栄,5.691566,0.88887954,0.18962999
2997,ストレージ王,14.555052,1.4448076,0.09924
2998,クリアル,21.144278,2.5475545,0.23942
2999,ホームポジション,8.326106,0.9090278,0.11209
3001,片倉工業,15.151347,0.8874549,0.06137
3002,グンゼ,48.541275,1.1215947,0.02777
3003,ヒューリック,12.515781,1.565854,0.12839
3004,神栄,4.91645,0.8686425,0.18318
3010,ポラリス・ホールディングス,12.534435,1.4469479,0.11903
3011,バナーズ,10.480349,0.95206255,0.08488
3020,アプライド,4.985032,0.80943245,0.18445
3021,パシフィックネット,13.736484,2.7859678,0.2744
3023,ラサ商事,9.389578,0.89151627,0.10543
3024,クリエイト,8.34727,0.8032123,0.09462
3028,アルペン,14.024896,0.6266909,0.03903
3030,ハブ,20.244762,3.6031778,0.1933
3031,ラクーンホールディングス,16.55454,2.905567,0.1568
3034,クオールホールディングス,9.416412,1.2933563,0.11964
3035,ケイティケイ,10.515142,0.8561239,0.08528
3036,アルコニックス,16.694288,1.0749757,0.08831
3038,神戸物産,21.645596,4.259788,0.18132
3040,ソリトンシステムズ,14.205095,2.466212,0.17981
3041,ビューティカダンホールディングス,,4.6033683,-0.00587
3042,セキュアヴェイル,16.101696,1.9431626,0.06587
3045,カワサキ,9.009009,0.73650676,0.05171
3046,ジンズホールディングス,19.569183,4.581584,0.25534
3048,ビックカメラ,15.151515,1.6700422,0.107480004
3050,ＤＣＭホールディングス,12.135999,0.7157744,0.061550003
3053,ペッパーフードサービス,,3.3614955,-0.03471
3054,ハイパー,10.310109,0.8052568,0.08015
